Time,Google_Trends,Uso,Deseo
2021-04-01,11,,
2021-05-01,11,,
2021-06-01,12,771.0,488.0
2021-07-01,9,771.0,488.0
2021-08-01,7,771.0,488.0
2021-09-01,12,771.0,488.0
2021-10-01,16,771.0,488.0
2021-11-01,18,771.0,488.0
2021-12-01,12,771.0,488.0
2022-01-01,11,771.0,488.0
2022-02-01,16,771.0,488.0
2022-03-01,13,771.0,488.0
2022-04-01,13,771.0,488.0
2022-05-01,16,771.0,488.0
2022-06-01,14,743.0,502.0
2022-07-01,9,743.0,502.0
2022-08-01,10,743.0,502.0
2022-09-01,14,743.0,502.0
2022-10-01,22,743.0,502.0
2022-11-01,26,743.0,502.0
2022-12-01,18,743.0,502.0
2023-01-01,19,743.0,502.0
2023-02-01,23,743.0,502.0
2023-03-01,25,743.0,502.0
2023-04-01,19,743.0,502.0
2023-05-01,20,743.0,502.0
2023-06-01,18,690.0,455.0
2023-07-01,13,690.0,455.0
2023-08-01,12,690.0,455.0
2023-09-01,19,690.0,455.0
2023-10-01,24,690.0,455.0
2023-11-01,28,690.0,455.0
2023-12-01,20,690.0,455.0
2024-01-01,21,690.0,455.0
2024-02-01,22,690.0,455.0
2024-03-01,21,690.0,455.0
2024-04-01,21,690.0,455.0
2024-05-01,20,690.0,455.0
2024-06-01,14,442.0,294.0
2024-07-01,11,442.0,294.0
2024-08-01,10,442.0,294.0
2024-09-01,15,442.0,294.0
2024-10-01,20,442.0,294.0
2024-11-01,16,442.0,294.0
2024-12-01,13,442.0,294.0
2025-01-01,14,442.0,294.0
2025-02-01,14,442.0,294.0
2025-03-01,12,442.0,294.0
2025-04-01,11,442.0,294.0
2025-05-01,10,442.0,294.0
2025-06-01,10,321.0,163.0
2025-07-01,6,321.0,163.0
2025-08-01,5,321.0,163.0
2025-09-01,8,321.0,163.0
2025-10-01,11,321.0,163.0
2025-11-01,11,321.0,163.0
2025-12-01,8,321.0,163.0
2026-01-01,8,321.0,163.0
2026-02-01,8,321.0,163.0
2026-03-01,8,321.0,163.0
