Time,Google Trends,Uso,Deseo
2021-04-01,19,,
2021-05-01,23,,
2021-06-01,19,603.0,313.0
2021-07-01,15,603.0,313.0
2021-08-01,18,603.0,313.0
2021-09-01,21,603.0,313.0
2021-10-01,32,603.0,313.0
2021-11-01,29,603.0,313.0
2021-12-01,23,603.0,313.0
2022-01-01,22,603.0,313.0
2022-02-01,27,603.0,313.0
2022-03-01,23,603.0,313.0
2022-04-01,24,603.0,313.0
2022-05-01,31,603.0,313.0
2022-06-01,27,528.0,283.0
2022-07-01,34,528.0,283.0
2022-08-01,41,528.0,283.0
2022-09-01,46,528.0,283.0
2022-10-01,49,528.0,283.0
2022-11-01,47,528.0,283.0
2022-12-01,36,528.0,283.0
2023-01-01,38,528.0,283.0
2023-02-01,38,528.0,283.0
2023-03-01,35,528.0,283.0
2023-04-01,34,528.0,283.0
2023-05-01,37,528.0,283.0
2023-06-01,32,524.0,274.0
2023-07-01,28,524.0,274.0
2023-08-01,30,524.0,274.0
2023-09-01,36,524.0,274.0
2023-10-01,46,524.0,274.0
2023-11-01,45,524.0,274.0
2023-12-01,36,524.0,274.0
2024-01-01,49,524.0,274.0
2024-02-01,58,524.0,274.0
2024-03-01,56,524.0,274.0
2024-04-01,63,524.0,274.0
2024-05-01,65,524.0,274.0
2024-06-01,75,341.0,208.0
2024-07-01,74,341.0,208.0
2024-08-01,64,341.0,208.0
2024-09-01,58,341.0,208.0
2024-10-01,60,341.0,208.0
2024-11-01,55,341.0,208.0
2024-12-01,52,341.0,208.0
2025-01-01,55,341.0,208.0
2025-02-01,64,341.0,208.0
2025-03-01,68,341.0,208.0
2025-04-01,79,341.0,208.0
2025-05-01,72,341.0,208.0
2025-06-01,73,167.0,92.0
2025-07-01,58,167.0,92.0
2025-08-01,51,167.0,92.0
2025-09-01,48,167.0,92.0
2025-10-01,71,167.0,92.0
2025-11-01,81,167.0,92.0
2025-12-01,85,167.0,92.0
2026-01-01,100,167.0,92.0
2026-02-01,79,167.0,92.0
2026-03-01,57,167.0,92.0
