Year,Trends,Uso_pct,Deseo_pct
2021-04-01,19,,
2021-05-01,23,,
2021-06-01,19,42.86,22.25
2021-07-01,15,42.495,22.115
2021-08-01,18,42.129999999999995,21.98
2021-09-01,21,41.765,21.845
2021-10-01,32,41.4,21.71
2021-11-01,29,41.035,21.575
2021-12-01,23,40.67,21.439999999999998
2022-01-01,22,40.305,21.305
2022-02-01,27,39.94,21.169999999999998
2022-03-01,23,39.574999999999996,21.035
2022-04-01,24,39.209999999999994,20.9
2022-05-01,31,38.845,20.765
2022-06-01,27,38.48,20.63
2022-07-01,34,38.244166666666665,20.464166666666667
2022-08-01,41,38.00833333333333,20.298333333333332
2022-09-01,46,37.772499999999994,20.1325
2022-10-01,49,37.53666666666666,19.966666666666665
2022-11-01,47,37.30083333333333,19.800833333333333
2022-12-01,36,37.065,19.634999999999998
2023-01-01,38,36.829166666666666,19.469166666666666
2023-02-01,38,36.593333333333334,19.303333333333335
2023-03-01,35,36.3575,19.1375
2023-04-01,34,36.12166666666666,18.971666666666668
2023-05-01,37,35.88583333333333,18.805833333333332
2023-06-01,32,35.65,18.64
2023-07-01,28,35.76083333333333,18.96666666666667
2023-08-01,30,35.87166666666666,19.293333333333333
2023-09-01,36,35.9825,19.62
2023-10-01,46,36.093333333333334,19.946666666666665
2023-11-01,45,36.204166666666666,20.273333333333333
2023-12-01,36,36.315,20.6
2024-01-01,49,36.42583333333333,20.926666666666666
2024-02-01,58,36.53666666666666,21.253333333333334
2024-03-01,56,36.647499999999994,21.58
2024-04-01,63,36.75833333333333,21.906666666666666
2024-05-01,65,36.869166666666665,22.23333333333333
2024-06-01,75,36.98,22.56
2024-07-01,74,36.2975,22.001666666666665
2024-08-01,64,35.614999999999995,21.44333333333333
2024-09-01,58,34.9325,20.884999999999998
2024-10-01,60,34.25,20.326666666666664
2024-11-01,55,33.567499999999995,19.76833333333333
2024-12-01,52,32.885,19.21
2025-01-01,55,32.2025,18.651666666666667
2025-02-01,64,31.52,18.093333333333334
2025-03-01,68,30.8375,17.535
2025-04-01,79,30.155,16.976666666666667
2025-05-01,72,29.4725,16.418333333333333
2025-06-01,73,28.79,15.86
2025-07-01,58,28.79,15.86
2025-08-01,51,28.79,15.86
2025-09-01,48,28.79,15.86
2025-10-01,71,28.79,15.86
2025-11-01,81,28.79,15.86
2025-12-01,85,28.79,15.86
2026-01-01,100,28.79,15.86
2026-02-01,79,28.79,15.86
2026-03-01,57,28.79,15.86
