Time,Google_Trends,evo_uso,evo_deseo
2021-04-01,8,,
2021-05-01,10,,
2021-06-01,7,722.0,460.0
2021-07-01,7,722.0,460.0
2021-08-01,6,722.0,460.0
2021-09-01,6,722.0,460.0
2021-10-01,9,722.0,460.0
2021-11-01,9,722.0,460.0
2021-12-01,6,722.0,460.0
2022-01-01,7,722.0,460.0
2022-02-01,8,722.0,460.0
2022-03-01,11,722.0,460.0
2022-04-01,9,722.0,460.0
2022-05-01,11,722.0,460.0
2022-06-01,10,727.0,496.0
2022-07-01,6,727.0,496.0
2022-08-01,5,727.0,496.0
2022-09-01,8,727.0,496.0
2022-10-01,9,727.0,496.0
2022-11-01,11,727.0,496.0
2022-12-01,8,727.0,496.0
2023-01-01,9,727.0,496.0
2023-02-01,11,727.0,496.0
2023-03-01,12,727.0,496.0
2023-04-01,11,727.0,496.0
2023-05-01,12,727.0,496.0
2023-06-01,10,696.0,465.0
2023-07-01,7,696.0,465.0
2023-08-01,6,696.0,465.0
2023-09-01,9,696.0,465.0
2023-10-01,9,696.0,465.0
2023-11-01,10,696.0,465.0
2023-12-01,9,696.0,465.0
2024-01-01,12,696.0,465.0
2024-02-01,13,696.0,465.0
2024-03-01,11,696.0,465.0
2024-04-01,14,696.0,465.0
2024-05-01,14,696.0,465.0
2024-06-01,8,514.0,386.0
2024-07-01,7,514.0,386.0
2024-08-01,5,514.0,386.0
2024-09-01,7,514.0,386.0
2024-10-01,10,514.0,386.0
2024-11-01,8,514.0,386.0
2024-12-01,8,514.0,386.0
2025-01-01,10,514.0,386.0
2025-02-01,12,514.0,386.0
2025-03-01,9,514.0,386.0
2025-04-01,8,514.0,386.0
2025-05-01,8,514.0,386.0
2025-06-01,6,330.0,191.0
2025-07-01,4,330.0,191.0
2025-08-01,3,330.0,191.0
2025-09-01,6,330.0,191.0
2025-10-01,7,330.0,191.0
2025-11-01,7,330.0,191.0
2025-12-01,6,330.0,191.0
2026-01-01,7,330.0,191.0
2026-02-01,7,330.0,191.0
2026-03-01,6,330.0,191.0
