Year,Trends,Uso,Deseo
2021-04-01,0.4545454545454546,,
2021-05-01,0.6363636363636365,,
2021-06-01,0.36363636363636365,0.9874055415617128,0.881967213114754
2021-07-01,0.36363636363636365,0.9884550797649033,0.8918032786885246
2021-08-01,0.2727272727272727,0.9895046179680941,0.9016393442622952
2021-09-01,0.2727272727272727,0.9905541561712846,0.9114754098360656
2021-10-01,0.5454545454545455,0.9916036943744752,0.9213114754098362
2021-11-01,0.5454545454545455,0.9926532325776659,0.9311475409836065
2021-12-01,0.2727272727272727,0.9937027707808564,0.9409836065573771
2022-01-01,0.36363636363636365,0.994752308984047,0.9508196721311475
2022-02-01,0.4545454545454546,0.9958018471872377,0.9606557377049181
2022-03-01,0.7272727272727273,0.9968513853904283,0.9704918032786884
2022-04-01,0.5454545454545455,0.9979009235936188,0.980327868852459
2022-05-01,0.7272727272727273,0.9989504617968096,0.9901639344262296
2022-06-01,0.6363636363636365,1.0,1.0
2022-07-01,0.2727272727272727,0.9934928631402181,0.9915300546448089
2022-08-01,0.18181818181818188,0.9869857262804368,0.9830601092896174
2022-09-01,0.4545454545454546,0.980478589420655,0.9745901639344263
2022-10-01,0.5454545454545455,0.973971452560873,0.966120218579235
2022-11-01,0.7272727272727273,0.9674643157010917,0.9576502732240437
2022-12-01,0.4545454545454546,0.9609571788413099,0.9491803278688524
2023-01-01,0.5454545454545455,0.9544500419815279,0.9407103825136613
2023-02-01,0.7272727272727273,0.9479429051217466,0.9322404371584698
2023-03-01,0.8181818181818181,0.9414357682619648,0.9237704918032787
2023-04-01,0.7272727272727273,0.9349286314021829,0.9153005464480874
2023-05-01,0.8181818181818181,0.9284214945424015,0.9068306010928961
2023-06-01,0.6363636363636365,0.9219143576826198,0.8983606557377048
2023-07-01,0.36363636363636365,0.883711167086482,0.8767759562841531
2023-08-01,0.2727272727272727,0.8455079764903443,0.855191256830601
2023-09-01,0.5454545454545455,0.8073047858942065,0.8336065573770493
2023-10-01,0.5454545454545455,0.769101595298069,0.8120218579234972
2023-11-01,0.6363636363636365,0.730898404701931,0.7904371584699452
2023-12-01,0.5454545454545455,0.6926952141057935,0.7688524590163934
2024-01-01,0.8181818181818181,0.654492023509656,0.7472677595628416
2024-02-01,0.9090909090909092,0.616288832913518,0.7256830601092896
2024-03-01,0.7272727272727273,0.5780856423173805,0.7040983606557376
2024-04-01,1.0,0.5398824517212427,0.6825136612021858
2024-05-01,1.0,0.5016792611251052,0.660928961748634
2024-06-01,0.4545454545454546,0.4634760705289672,0.639344262295082
2024-07-01,0.36363636363636365,0.4248530646515535,0.5860655737704918
2024-08-01,0.18181818181818188,0.3862300587741393,0.5327868852459017
2024-09-01,0.36363636363636365,0.34760705289672555,0.4795081967213115
2024-10-01,0.6363636363636365,0.3089840470193116,0.42622950819672134
2024-11-01,0.4545454545454546,0.27036104114189763,0.3729508196721312
2024-12-01,0.4545454545454546,0.23173803526448367,0.319672131147541
2025-01-01,0.6363636363636365,0.1931150293870697,0.26639344262295084
2025-02-01,0.8181818181818181,0.15449202350965574,0.21311475409836067
2025-03-01,0.5454545454545455,0.11586901763224189,0.1598360655737705
2025-04-01,0.4545454545454546,0.07724601175482781,0.10655737704918034
2025-05-01,0.4545454545454546,0.03862300587741396,0.05327868852459017
2025-06-01,0.2727272727272727,0.0,0.0
2025-07-01,0.09090909090909094,0.0,0.0
2025-08-01,0.0,0.0,0.0
2025-09-01,0.2727272727272727,0.0,0.0
2025-10-01,0.36363636363636365,0.0,0.0
2025-11-01,0.36363636363636365,0.0,0.0
2025-12-01,0.2727272727272727,0.0,0.0
2026-01-01,0.36363636363636365,0.0,0.0
2026-02-01,0.36363636363636365,0.0,0.0
2026-03-01,0.2727272727272727,0.0,0.0
