Time,Google_Trends,% Uso SO,% Deseo SO
2021-04-01,8,,
2021-05-01,10,,
2021-06-01,7,51.314854299928925,32.69367448471926
2021-07-01,7,51.314854299928925,32.69367448471926
2021-08-01,6,51.314854299928925,32.69367448471926
2021-09-01,6,51.314854299928925,32.69367448471926
2021-10-01,9,51.314854299928925,32.69367448471926
2021-11-01,9,51.314854299928925,32.69367448471926
2021-12-01,6,51.314854299928925,32.69367448471926
2022-01-01,7,51.314854299928925,32.69367448471926
2022-02-01,8,51.314854299928925,32.69367448471926
2022-03-01,11,51.314854299928925,32.69367448471926
2022-04-01,9,51.314854299928925,32.69367448471926
2022-05-01,11,51.314854299928925,32.69367448471926
2022-06-01,10,52.988338192419825,36.15160349854227
2022-07-01,6,52.988338192419825,36.15160349854227
2022-08-01,5,52.988338192419825,36.15160349854227
2022-09-01,8,52.988338192419825,36.15160349854227
2022-10-01,9,52.988338192419825,36.15160349854227
2022-11-01,11,52.988338192419825,36.15160349854227
2022-12-01,8,52.988338192419825,36.15160349854227
2023-01-01,9,52.988338192419825,36.15160349854227
2023-02-01,11,52.988338192419825,36.15160349854227
2023-03-01,12,52.988338192419825,36.15160349854227
2023-04-01,11,52.988338192419825,36.15160349854227
2023-05-01,12,52.988338192419825,36.15160349854227
2023-06-01,10,47.3469387755102,31.63265306122449
2023-07-01,7,47.3469387755102,31.63265306122449
2023-08-01,6,47.3469387755102,31.63265306122449
2023-09-01,9,47.3469387755102,31.63265306122449
2023-10-01,9,47.3469387755102,31.63265306122449
2023-11-01,10,47.3469387755102,31.63265306122449
2023-12-01,9,47.3469387755102,31.63265306122449
2024-01-01,12,47.3469387755102,31.63265306122449
2024-02-01,13,47.3469387755102,31.63265306122449
2024-03-01,11,47.3469387755102,31.63265306122449
2024-04-01,14,47.3469387755102,31.63265306122449
2024-05-01,14,47.3469387755102,31.63265306122449
2024-06-01,8,55.748373101952275,41.86550976138829
2024-07-01,7,55.748373101952275,41.86550976138829
2024-08-01,5,55.748373101952275,41.86550976138829
2024-09-01,7,55.748373101952275,41.86550976138829
2024-10-01,10,55.748373101952275,41.86550976138829
2024-11-01,8,55.748373101952275,41.86550976138829
2024-12-01,8,55.748373101952275,41.86550976138829
2025-01-01,10,55.748373101952275,41.86550976138829
2025-02-01,12,55.748373101952275,41.86550976138829
2025-03-01,9,55.748373101952275,41.86550976138829
2025-04-01,8,55.748373101952275,41.86550976138829
2025-05-01,8,55.748373101952275,41.86550976138829
2025-06-01,6,56.896551724137936,32.93103448275862
2025-07-01,4,56.896551724137936,32.93103448275862
2025-08-01,3,56.896551724137936,32.93103448275862
2025-09-01,6,56.896551724137936,32.93103448275862
2025-10-01,7,56.896551724137936,32.93103448275862
2025-11-01,7,56.896551724137936,32.93103448275862
2025-12-01,6,56.896551724137936,32.93103448275862
2026-01-01,7,56.896551724137936,32.93103448275862
2026-02-01,7,56.896551724137936,32.93103448275862
2026-03-01,6,56.896551724137936,32.93103448275862
