Time,JavaScript
2021-04-01,16
2021-05-01,16
2021-06-01,15
2021-07-01,14
2021-08-01,11
2021-09-01,15
2021-10-01,18
2021-11-01,18
2021-12-01,14
2022-01-01,15
2022-02-01,22
2022-03-01,18
2022-04-01,20
2022-05-01,24
2022-06-01,23
2022-07-01,19
2022-08-01,19
2022-09-01,23
2022-10-01,27
2022-11-01,30
2022-12-01,24
2023-01-01,29
2023-02-01,34
2023-03-01,33
2023-04-01,30
2023-05-01,29
2023-06-01,28
2023-07-01,24
2023-08-01,23
2023-09-01,28
2023-10-01,31
2023-11-01,31
2023-12-01,26
2024-01-01,31
2024-02-01,33
2024-03-01,31
2024-04-01,35
2024-05-01,28
2024-06-01,23
2024-07-01,19
2024-08-01,19
2024-09-01,22
2024-10-01,24
2024-11-01,21
2024-12-01,19
2025-01-01,21
2025-02-01,27
2025-03-01,21
2025-04-01,16
2025-05-01,16
2025-06-01,13
2025-07-01,12
2025-08-01,11
2025-09-01,12
2025-10-01,13
2025-11-01,14
2025-12-01,12
2026-01-01,13
2026-02-01,13
2026-03-01,12
